id,title,description,availability,condition,price,link,image_link,brand
"fender-player-plus-stratocaster-tequila-sunrise-2024-made-in-mexico","Fender Player Plus Stratocaster Tequila Sunrise 2024 Made in México ","Venta por falta de uso. El instrumento se mantiene en excelentes condiciones gracias a su poco tiempo de utilización.
","in stock","used","4350.00 PEN","https://peruguitar.com/fender-player-plus-stratocaster-tequila-sunrise-2024-made-in-mexico","https://peruguitar.com/catalog/ricardoroa/fender-player-plus-stratocaster-tequila-sunrise-2024-made-in-mexico-1.jpeg","Fender"
"esp-e2-m1-made-in-japan","ESP E2 M1 Made in Japan","La venta se debe a falta de uso. La guitarra ha sido utilizada muy poco y se encuentra en muy buenas condiciones.
","in stock","used","7000.00 PEN","https://peruguitar.com/esp-e2-m1-made-in-japan","https://peruguitar.com/catalog/ricardoroa/esp-e2-m1-made-in-japan-1.jpeg","ESP"
"silvertone-u1-1960","Silvertone U-1 de 1960","Se vende guitarra Silvertone (Danelectro), totalmente operativa y en estado original. El instrumento incluye repuestos actuales y conserva todas sus piezas auténticas. Es un modelo vintage de los años 60s, ideal para quienes buscan una pieza clásica bien cuidada.","in stock","used","2400.00 PEN","https://peruguitar.com/silvertone-u1-1960","https://peruguitar.com/catalog/lucianotello/silvertone-u1-1960-1.jpg","Silvertone"
"ltd-ec256-dimarzio","LTD EC-256","El instrumento cuenta con un set de pastillas DiMarzio PAF Master y Super 3, además de un selector DiMarzio instalado. Está calibrada en D Standard, lista para tocar y en muy buen estado general. Incluye hardcase Washburn para mayor protección.","in stock","used","1999.00 PEN","https://peruguitar.com/ltd-ec256-dimarzio","https://peruguitar.com/catalog/santiagocasas/ltd-ec256-dimarzio-1.jpg","LTD"
"gibson-les-paul-studio-goldtop-bonamassa-2013","Gibson Les Paul Studio Goldtop 2013 Joe Bonamassa Edition","Gibson Les Paul Studio Goldtop 2013 con upgrades premium: Burstbucker BB1/BB2, puente ABR-1, strap locks y correa vintage. Sonido poderoso, gran sustain y en impecable estado. Incluye hard case TKL original.","in stock","used","5000.00 PEN","https://peruguitar.com/gibson-les-paul-studio-goldtop-bonamassa-2013","https://peruguitar.com/catalog/vanerabel/gibson-les-paul-studio-goldtop-bonamassa-2013-1.jpg","Gibson"
"fender-telecaster-american-special-2013","Fender Telecaster American Special 2013","Hermosa Fender Telecaster American Special 2013 equipada con pastillas Fender Custom Shop Texas Special, clavijas escalonadas y saddles de bronce compensados. Incluye funda Fender y correa de cuero Fender. Guitarra impecable, potente y lista para tocar.","in stock","used","4500.00 PEN","https://peruguitar.com/fender-telecaster-american-special-2013","https://peruguitar.com/catalog/vanerabel/fender-telecaster-american-special-2013-1.jpg","Fender"
"ibanez-jem777vbk-1989","Ibanez JEM777vBk 1989","Versátil y de diseño icónico, parte de las primeras JEM creadas junto a Steve Vai. Sonido PAF Pro y mejoras de electrónica premium.","in stock","used","15800.00 PEN","https://peruguitar.com/ibanez-jem777vbk-1989","https://peruguitar.com/catalog/kikekluver/ibanez-jem777vbk-1989-1.jpg","Ibanez"
"fender-stratocaster-american-ultra","Fender Stratocaster American Ultra","Incluye accesorios, parante y estuche. En excelente estado; se vende por falta de uso. Modelo American Ultra con ergonomía moderna y cómoda ejecución.
","in stock","used","8000.00 PEN","https://peruguitar.com/fender-stratocaster-american-ultra","https://peruguitar.com/catalog/salimvera/fender-american-ultra-1.jpg","Fender"
"gibson-les-paul-studio","Gibson Les Paul Studio","Excelente Gibson Les Paul Studio en buen estado. Se vende por motivos de salud para apoyar a un familiar. Ofrece el tono clásico Gibson y una construcción sólida ideal para estudio o escenario.","in stock","used","4500.00 PEN","https://peruguitar.com/gibson-les-paul-studio","https://peruguitar.com/catalog/mariodiaz/gibson-les-paul-studio-1.jpg","Gibson"
"prs-se-custom-24-floyd","PRS SE Custom 24 Floyd","Se vende por financiero o renovación de equipo. PRS SE Custom 24 Floyd con cuerpo de mahogany/maple, 24 trastes y puente Floyd Rose 1000.","in stock","used","4500.00 PEN","https://peruguitar.com/prs-se-custom-24-floyd","https://peruguitar.com/catalog/martincamasca/prs-se-custom-24-floyd-1.jpg","PRS"
"custom-profesional-dimarzio-sperzel","Custom Profesional – DiMarzio + Sperzel","Guitarra custom de luthier con maderas seleccionadas, DiMarzio Fred + Air Norton y clavijas Sperzel USA. Estable, resonante y de alta gama.
","in stock","used","4000.00 PEN","https://peruguitar.com/custom-profesional-dimarzio-sperzel","https://peruguitar.com/catalog/martincamasca/custom-profesional-dimarzio-sperzel-1.jpg","Sin marca"
"ibanez-rg-565-japonesa","Ibanez rg 565 japonesa","Guitarra Ibanez RG 565 japonesa en perfecto estado. Configuración orientada a rock y metal, no se aceptan cambios y el precio no es negociable.","in stock","used","3300.00 PEN","https://peruguitar.com/ibanez-rg-565-japonesa","https://peruguitar.com/catalog/ricardougarte/ibanez-rg-565-japonesa-1.jpg","Ibanez"
"steinberger-synapse-headless-guitar","Steinberger synapse headless guitar","Guitarra headless Steinberger Synapse ST-2FPA en acabado azul translúcido, con EMG 81/85 activos, escala barítono 28.5”, sliding capo integrado y hardware negro. Excelente estado.","in stock","used","4200.00 PEN","https://peruguitar.com/steinberger-synapse-headless-guitar","https://peruguitar.com/catalog/joseantoniorojas/steinberger-synapse-headless-guitar-1.jpg","Steinberger"
"jackson-soloist-sl1-usa-select-custom","Jackson Soloist SL1 - USA Select Custom","Jackson Soloist SL1 USA (2016) en excelente estado, con sonido potente y gran versatilidad. Cuenta con Seymour Duncan y Floyd Rose Original. Se vende por falta de uso. Incluye case rígido.
","in stock","used","12500.00 PEN","https://peruguitar.com/jackson-soloist-sl1-usa-select-custom","https://peruguitar.com/catalog/jordisanmarti/jackson-soloist-sl1-usa-select-custom-1.jpg","Jackson"
"prs-mccarty-usa-2016-dark-cherry-burst","PRS McCarty USA (2016) – Dark Cherry Burst","PRS McCarty USA 2016 en estado impecable, calibrada con cuerdas NYXL 9–42. Incluye estuche de lujo y documentos. Se entrega probada.
","in stock","used","13000.00 PEN","https://peruguitar.com/prs-mccarty-usa-2016-dark-cherry-burst","https://peruguitar.com/catalog/jordisanmarti/prs-mccarty-usa-2016-dark-cherry-burst-1.jpg","PRS"
"gibson-les-paul-standard-50s-goldtop-2023","Gibson Les Paul Standard 50s goldtop 2023","Comprada en MakeMusic hace un año. Está en perfecto estado y existe la posibilidad de probarla en Miraflores antes de concretar la compra.
","in stock","used","9000.00 PEN","https://peruguitar.com/gibson-les-paul-standard-50s-goldtop-2023","https://peruguitar.com/catalog/javierroman/gibson-les-paul-standard-50s-goldtop-2023-1.jpg","Gibson"
"fender-american-professional-ii","Fender American Professional II","Guitarra Fender American Professional II comprada en 2023. Se vende por falta de uso. Cuenta con documentos completos, está calibrada, sin ruido y sin rasguños.","in stock","used","7000.00 PEN","https://peruguitar.com/fender-american-professional-ii","https://peruguitar.com/catalog/victorvera/fender-american-professional-ii-1.jpg","Fender"
"musicman-jp6","Musicman JP6","La vendo con mucho pesar debido a gastos urgentes en casa. Vendo mi Musicman JP6 en excelente estado, cuidada como un hijo. Es una guitarra profesional, lista para tocar, muy versátil y capaz de adaptarse a cualquier estilo musical.","in stock","used","10000.00 PEN","https://peruguitar.com/musicman-jp6","https://peruguitar.com/catalog/cesarneyra/musicman-jp6-1.jpg","Music Man"
"fender-telecaster-usa-avri-52-reissue-2008-upgrades-premium","Fender Telecaster USA AVRI 52 • Reissue 2008","Fender Telecaster AVRI 52 USA del 2008, modelo American Vintage Reissue con upgrades premium. Recién relaqueada en nitrocelulosa, mantiene el carácter y el vibe clásico del año 52.
","in stock","used","5700.00 PEN","https://peruguitar.com/fender-telecaster-usa-avri-52-reissue-2008-upgrades-premium","https://peruguitar.com/catalog/diegoandre/fender-telecaster-usa-avri-52-reissue-2008-upgrades-premium-1.jpg","Fender"
"fender-telecaster-american-professional-i-sunburst","Fender Telecaster American Professional I Sunburst","Se vende por falta de uso. Incluye pastillas V-Mod Single-Coil, puente con cubierta de cenicero y diapasón de palosanto.","in stock","used","4200.00 PEN","https://peruguitar.com/fender-telecaster-american-professional-i-sunburst","https://peruguitar.com/catalog/moshegarcia-saldana/fender-telecaster-american-professional-i-sunburst-19e75dc3.jpg","Fender"
